Anime,Total
Hibike! Euphonium,25.3
Aria the Origination,25.0
Shelter (Music),25.0
Yojouhan Shinwa Taikei,25.0
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",25.0
Saenai Heroine no Sodatekata,25.0
Grisaia no Kajitsu,25.0
Konjiki no Gash Bell!!,24.7
Uchuu Kyoudai,24.7
Nagi no Asu kara,24.3
Yamada-kun to 7-nin no Majo: Mou Hitotsu no Suzaku-sai,24.3
Nichijou,24.0
Danshi Koukousei no Nichijou,24.0
Barakamon,24.0
Yuru Camp,24.0
Yahari Ore no Seishun Love Comedy wa Machigatteiru.,23.7
Baka to Test to Shoukanjuu,23.7
Prison School,23.3
Tonikaku Kawaii,23.3
Gakkougurashi!,23.0
Kuzu no Honkai,22.7
Haibane Renmei,22.7
Sora yori mo Tooi Basho,22.7
Nana,22.7
Isshuukan Friends.,21.7
